protocol,avg_action_quality_Q,discovery_G,expected_distinct,redundant_hits
consensus,0.383468709731,0.383468709731,1.000000,2.684280968119
symmetric_market,0.344136160273,0.599099252439,2.673494,2.153990029749
private_clues,0.200000000000,0.832227840000,6.156850,0.767772160000
planner_portfolio,0.107427655775,0.859421246199,8.000000,0.000000000000
